STARTING DATA RECORDING
Gaze point at (432.392970826952, 341.534255608259) @375576.688611158
Gaze point at (432.108712996408, 340.526693555013) @375576.855221686
Gaze point at (387.635333868969, 251.609045531588) @375577.021710449
Gaze point at (471.950853828549, 258.999971102351) @375577.188117569
Gaze point at (562.047079863252, 310.626015562652) @375577.354715034
Gaze point at (558.583626921341, 326.168264871354) @375577.521275176
Gaze point at (550.489252386831, 329.585691676299) @375577.687906698
Gaze point at (556.847682834024, 324.435961085852) @375577.854434183
Gaze point at (562.370519796984, 326.200270226906) @375578.020904751
Gaze point at (561.293971926692, 320.583775912148) @375578.18765897
Gaze point at (563.801665387581, 321.79337734833) @375578.354178058
Gaze point at (562.827931070531, 327.733791362204) @375578.520687348
Gaze point at (563.830234010723, 333.659213010714) @375578.687271284
Gaze point at (570.44218492486, 338.40053924062) @375578.853813698
Gaze point at (568.901415543445, 339.065768233838) @375579.020300128
Gaze point at (567.499274785568, 330.499523715793) @375579.187022623
Gaze point at (565.351206251632, 337.879315112767) @375579.35328232
Gaze point at (781.22820911852, 235.843718571249) @375579.519866722
Gaze point at (814.453196194226, 216.690736203696) @375579.686410535
Gaze point at (812.914038276021, 215.184902709328) @375579.85302946
Gaze point at (568.6154612725, 326.182688008395) @375580.019516357
Gaze point at (569.467609522495, 327.509345074188) @375580.186267777
Gaze point at (571.229113682252, 324.935759801677) @375580.352715019
Gaze point at (574.310166197717, 325.216699894161) @375580.519252301
Gaze point at (703.153504019678, 368.86221720071) @375580.685754127
Gaze point at (1037.27313889289, 129.684861442526) @375580.918322227
Gaze point at (1038.38889071328, 26.6883810448709) @375581.085765977
Gaze point at (1035.0752684063, 34.7455183095362) @375581.252163767
Gaze point at (1033.52976410811, 17.8428537331017) @375581.418757033
Gaze point at (1033.02532504968, 19.0108929971938) @375581.58548326
Gaze point at (1243.52699094237, 14.6338143082293) @375581.752152104
Gaze point at (1186.04462058836, 71.4261746640062) @375581.91837961
Gaze point at (1097.28254310684, 167.96689214173) @375582.084894032
Gaze point at (1086.03642397963, 165.934387599015) @375582.251402856
Gaze point at (1092.88536738085, 161.225696432364) @375582.417950402
Gaze point at (1089.2822402853, 168.957576266807) @375582.584759205
STARTING DATA RECORDING
Gaze point at (210.75737422431, 136.460896163586) @376169.697857787
Gaze point at (656.103932998159, 221.573250799935) @376169.86422012
Gaze point at (405.096866269467, 130.417184785685) @376170.030881033
Gaze point at (172.492729984991, 97.9183577006104) @376170.19751722
Gaze point at (107.576017734496, 87.7874240321704) @376170.363919208
Gaze point at (602.547071418942, 349.457637685352) @376170.530300203
Gaze point at (572.372110336202, 349.928651513646) @376170.697048823
Gaze point at (569.523802752291, 350.919715508352) @376170.863692474
Gaze point at (566.790185370317, 348.432223598664) @376171.030063205
Gaze point at (567.226208919836, 357.340384109088) @376171.196579027
